symbol,direction,entry_time,entry_price,exit_time,exit_price,qty,pnl,sector,stage
DIVISLAB,SHORT,2026-01-12 09:35:00,6397.5,2026-01-12 15:05:00,6489.0,9,-823.5,NIFTY PHARMA,CLOSED
CASTROLIND,SHORT,2026-01-12 09:40:00,187.3,2026-01-12 15:05:00,187.25,377,18.850000000004286,NIFTY OIL AND GAS,CLOSED
VEDL,LONG,2026-01-12 10:25:00,627.6,2026-01-12 15:05:00,626.3,120,-156.00000000000819,NIFTY METAL,CLOSED
BAJAJ-AUTO,SHORT,2026-01-12 10:30:00,9450.0,2026-01-12 15:05:00,9484.5,8,-276.0,NIFTY AUTO,CLOSED
EICHERMOT,SHORT,2026-01-12 10:30:00,7351.5,2026-01-12 15:05:00,7432.0,15,-1207.5,NIFTY AUTO,CLOSED
LODHA,SHORT,2026-01-12 10:50:00,1065.0,2026-01-12 15:05:00,1074.6,69,-662.3999999999937,NIFTY REALTY,CLOSED
LUPIN,SHORT,2026-01-13 09:40:00,2175.8,2026-01-13 15:05:00,2181.7,28,-165.1999999999898,NIFTY PHARMA,CLOSED
HINDALCO,LONG,2026-01-13 09:45:00,932.6,2026-01-13 15:05:00,936.6,57,228.0,NIFTY METAL,CLOSED
HINDZINC,LONG,2026-01-13 09:45:00,635.5,2026-01-13 15:05:00,629.6,61,-359.8999999999986,NIFTY METAL,CLOSED
DIVISLAB,SHORT,2026-01-13 10:45:00,6416.5,2026-01-13 15:05:00,6444.0,9,-247.5,NIFTY PHARMA,CLOSED
LODHA,SHORT,2026-01-13 11:00:00,1063.5,2026-01-13 15:05:00,1075.0,64,-736.0,NIFTY REALTY,CLOSED
LTIM,LONG,2026-01-13 11:05:00,6071.5,2026-01-13 15:05:00,6101.5,16,480.0,NIFTY IT,CLOSED
HINDZINC,LONG,2026-01-14 09:35:00,646.95,2026-01-14 15:05:00,654.0,62,437.0999999999972,NIFTY METAL,CLOSED
NMDC,LONG,2026-01-14 09:35:00,83.29,2026-01-14 15:05:00,83.82,535,283.549999999993,NIFTY METAL,CLOSED
LODHA,SHORT,2026-01-14 09:40:00,1058.6,2026-01-14 15:05:00,1059.8,43,-51.600000000001955,NIFTY REALTY,CLOSED
DIVISLAB,SHORT,2026-01-14 09:40:00,6413.5,2026-01-14 15:05:00,6363.0,8,404.0,NIFTY PHARMA,CLOSED
MPHASIS,SHORT,2026-01-14 10:15:00,2823.2,2026-01-14 15:05:00,2792.0,26,811.1999999999953,NIFTY IT,CLOSED
CANBK,LONG,2026-01-14 10:50:00,151.97,2026-01-14 15:05:00,153.83,498,926.2800000000068,NIFTY PSU BANK,CLOSED
